epoch,model_name,lambdas,loss
1,"['TIGER-Lab/MAmmoTH-7B', 'mrm8488/llama-2-coder-7b', 'elyza/ELYZA-japanese-Llama-2-7b']","[0.332275390625, 0.332275390625, 0.334228515625]",19.589183807373047
2,"['TIGER-Lab/MAmmoTH-7B', 'mrm8488/llama-2-coder-7b', 'elyza/ELYZA-japanese-Llama-2-7b']","[0.331298828125, 0.331298828125, 0.335205078125]",19.583099365234375
3,"['TIGER-Lab/MAmmoTH-7B', 'mrm8488/llama-2-coder-7b', 'elyza/ELYZA-japanese-Llama-2-7b']","[0.330322265625, 0.330322265625, 0.336181640625]",19.575580596923828
4,"['TIGER-Lab/MAmmoTH-7B', 'mrm8488/llama-2-coder-7b', 'elyza/ELYZA-japanese-Llama-2-7b']","[0.32958984375, 0.32958984375, 0.3369140625]",19.569984436035156
5,"['TIGER-Lab/MAmmoTH-7B', 'mrm8488/llama-2-coder-7b', 'elyza/ELYZA-japanese-Llama-2-7b']","[0.328857421875, 0.328857421875, 0.337646484375]",19.56062889099121
6,"['TIGER-Lab/MAmmoTH-7B', 'mrm8488/llama-2-coder-7b', 'elyza/ELYZA-japanese-Llama-2-7b']","[0.328369140625, 0.328369140625, 0.338134765625]",19.553730010986328
7,"['TIGER-Lab/MAmmoTH-7B', 'mrm8488/llama-2-coder-7b', 'elyza/ELYZA-japanese-Llama-2-7b']","[0.328125, 0.328125, 0.33837890625]",19.550785064697266
8,"['TIGER-Lab/MAmmoTH-7B', 'mrm8488/llama-2-coder-7b', 'elyza/ELYZA-japanese-Llama-2-7b']","[0.327880859375, 0.327880859375, 0.338623046875]",19.547361373901367
9,"['TIGER-Lab/MAmmoTH-7B', 'mrm8488/llama-2-coder-7b', 'elyza/ELYZA-japanese-Llama-2-7b']","[0.327880859375, 0.327880859375, 0.338623046875]",19.545913696289062
10,"['TIGER-Lab/MAmmoTH-7B', 'mrm8488/llama-2-coder-7b', 'elyza/ELYZA-japanese-Llama-2-7b']","[0.327880859375, 0.327880859375, 0.338623046875]",19.545913696289062
