epoch,model_name,lambdas,loss
1,"['TIGER-Lab/MAmmoTH-7B', 'mrm8488/llama-2-coder-7b', 'elyza/ELYZA-japanese-Llama-2-7b']","[0.332275390625, 0.332275390625, 0.334228515625]",16.193334579467773
2,"['TIGER-Lab/MAmmoTH-7B', 'mrm8488/llama-2-coder-7b', 'elyza/ELYZA-japanese-Llama-2-7b']","[0.331298828125, 0.331298828125, 0.335205078125]",16.190000534057617
3,"['TIGER-Lab/MAmmoTH-7B', 'mrm8488/llama-2-coder-7b', 'elyza/ELYZA-japanese-Llama-2-7b']","[0.330322265625, 0.330322265625, 0.336181640625]",16.182870864868164
4,"['TIGER-Lab/MAmmoTH-7B', 'mrm8488/llama-2-coder-7b', 'elyza/ELYZA-japanese-Llama-2-7b']","[0.32958984375, 0.32958984375, 0.3369140625]",16.175689697265625
5,"['TIGER-Lab/MAmmoTH-7B', 'mrm8488/llama-2-coder-7b', 'elyza/ELYZA-japanese-Llama-2-7b']","[0.328857421875, 0.328857421875, 0.337646484375]",16.169445037841797
6,"['TIGER-Lab/MAmmoTH-7B', 'mrm8488/llama-2-coder-7b', 'elyza/ELYZA-japanese-Llama-2-7b']","[0.328369140625, 0.328369140625, 0.338134765625]",16.165205001831055
7,"['TIGER-Lab/MAmmoTH-7B', 'mrm8488/llama-2-coder-7b', 'elyza/ELYZA-japanese-Llama-2-7b']","[0.328125, 0.328125, 0.33837890625]",16.165325164794922
8,"['TIGER-Lab/MAmmoTH-7B', 'mrm8488/llama-2-coder-7b', 'elyza/ELYZA-japanese-Llama-2-7b']","[0.327880859375, 0.327880859375, 0.338623046875]",16.161972045898438
9,"['TIGER-Lab/MAmmoTH-7B', 'mrm8488/llama-2-coder-7b', 'elyza/ELYZA-japanese-Llama-2-7b']","[0.327880859375, 0.327880859375, 0.338623046875]",16.161970138549805
10,"['TIGER-Lab/MAmmoTH-7B', 'mrm8488/llama-2-coder-7b', 'elyza/ELYZA-japanese-Llama-2-7b']","[0.327880859375, 0.327880859375, 0.338623046875]",16.161970138549805
